eBird.English.Name,eBird.Scientific.Name,Resident,Strictly.Altitudinal.Migrant,Summer.Visitor,Winter.Visitor,Strictly.Passage,Uncertain.Vagrant,Breeding.Range.Mostly.Outside
Rusty-fronted Barwing,Actinodura egertoni,1,NA,NA,NA,NA,NA,NA
Rusty-tailed Flycatcher,Ficedula ruficauda,NA,NA,1,1,NA,NA,NA
Rusty-throated Wren-Babbler,Spelaeornis badeigularis,1,1,NA,NA,NA,NA,NA
Sabine's Gull,Xema sabini,NA,NA,NA,NA,NA,1,NA
Saker Falcon,Falco cherrug,1,NA,NA,NA,NA,NA,NA
Sand Lark,Alaudala raytal,1,NA,NA,NA,NA,NA,NA
Sanderling,Calidris alba,NA,NA,NA,1,NA,NA,NA
Sandwich Tern,Thalasseus sandvicensis,NA,NA,NA,1,NA,1,NA
Sapphire Flycatcher,Ficedula sapphira,1,1,NA,NA,NA,NA,NA
Sarus Crane,Antigone antigone,1,NA,NA,NA,NA,NA,NA
Satyr Tragopan,Tragopan satyra,1,1,NA,NA,NA,NA,NA
Saunders's Tern,Sternula saundersi,NA,NA,1,1,NA,NA,1
Savanna Nightjar,Caprimulgus affinis,1,NA,NA,NA,NA,NA,NA
Scaly-bellied Woodpecker,Picus squamatus,1,1,NA,NA,NA,NA,NA
Scaly-breasted Cupwing,Pnoepyga albiventer,1,1,NA,NA,NA,NA,NA
Scaly-breasted Munia,Lonchura punctulata,1,NA,NA,NA,NA,NA,NA
Scaly Laughingthrush,Trochalopteron subunicolor,1,1,NA,NA,NA,NA,NA
Scaly Thrush,Zoothera dauma,1,1,NA,NA,NA,NA,NA
Scarlet-backed Flowerpecker,Dicaeum cruentatum,1,1,NA,NA,NA,NA,NA
Scarlet Finch,Carpodacus sipahi,1,1,NA,NA,NA,NA,NA
Scarlet Minivet,Pericrocotus speciosus,1,1,NA,NA,NA,NA,NA
Sclater's Monal,Lophophorus sclateri,1,1,NA,NA,NA,NA,NA
Sedge Warbler,Acrocephalus schoenobaenus,NA,NA,NA,NA,NA,1,NA
Sharp-tailed Sandpiper,Calidris acuminata,NA,NA,NA,NA,NA,1,NA
Shikra,Accipiter badius,1,NA,NA,NA,NA,NA,NA
Short-billed Minivet,Pericrocotus brevirostris,1,1,NA,NA,NA,NA,NA
Short-eared Owl,Asio flammeus,NA,NA,NA,1,NA,NA,NA
Short-tailed Shearwater,Ardenna tenuirostris,NA,NA,NA,NA,NA,1,NA
Short-toed Snake-Eagle,Circaetus gallicus,1,NA,NA,NA,NA,NA,NA
Siberian Blue Robin,Larvivora cyane,NA,NA,NA,NA,NA,1,NA
Siberian Crane,Leucogeranus leucogeranus,NA,NA,NA,1,NA,NA,NA
Siberian Rubythroat,Calliope calliope,NA,NA,NA,1,NA,NA,NA
Siberian Stonechat,Saxicola maurus,NA,NA,1,1,NA,NA,1
Siberian Thrush,Geokichla sibirica,NA,NA,NA,NA,NA,1,NA
Sikkim Treecreeper,Certhia discolor,1,1,NA,NA,NA,NA,NA
Sillem's Rosefinch,Carpodacus sillemi,NA,NA,NA,NA,NA,1,NA
Silver-backed Needletail,Hirundapus cochinchinensis,NA,NA,1,NA,NA,NA,NA
Silver-breasted Broadbill,Serilophus lunatus,1,NA,NA,NA,NA,NA,NA
Silver-eared Mesia,Leiothrix argentauris,1,NA,NA,NA,NA,NA,NA
Sind Sparrow,Passer pyrrhonotus,1,NA,NA,NA,NA,NA,NA
Sind Woodpecker,Dendrocopos assimilis,1,NA,NA,NA,NA,NA,NA
Singing Bushlark,Mirafra cantillans,1,NA,NA,NA,NA,NA,NA
Sirkeer Malkoha,Taccocua leschenaultii,1,NA,NA,NA,NA,NA,NA
Slaty-backed Flycatcher,Ficedula erithacus,1,1,NA,NA,NA,NA,NA
Slaty-backed Forktail,Enicurus schistaceus,1,1,NA,NA,NA,NA,NA
Slaty-bellied Tesia,Tesia olivea,1,1,NA,NA,NA,NA,NA
Slaty-blue Flycatcher,Ficedula tricolor,1,1,NA,NA,NA,NA,NA
Slaty-breasted Rail,Lewinia striata,1,NA,NA,NA,NA,NA,NA
Slaty-headed Parakeet,Psittacula himalayana,1,1,NA,NA,NA,NA,NA
Slaty-legged Crake,Rallina eurizonoides,1,NA,NA,NA,NA,NA,NA
Slender-billed Babbler,Turdoides longirostris,1,NA,NA,NA,NA,NA,NA
Slender-billed Gull,Chroicocephalus genei,1,NA,NA,NA,NA,NA,NA
Slender-billed Oriole,Oriolus tenuirostris,1,NA,1,NA,NA,NA,NA
Slender-billed Scimitar-Babbler,Pomatorhinus superciliaris,1,1,NA,NA,NA,NA,NA
Slender-billed Vulture,Gyps tenuirostris,1,NA,NA,NA,NA,NA,NA
Small Buttonquail,Turnix sylvaticus,NA,NA,1,1,NA,NA,NA
Small Minivet,Pericrocotus cinnamomeus,1,NA,NA,NA,NA,NA,NA
Small Niltava,Niltava macgrigoriae,1,1,NA,NA,NA,NA,NA
Small Pratincole,Glareola lactea,1,NA,NA,NA,NA,NA,NA
Smew,Mergellus albellus,NA,NA,NA,1,NA,NA,NA
Smoky Warbler,Phylloscopus fuligiventer,NA,NA,1,1,NA,NA,1
Snow Partridge,Lerwa lerwa,1,1,NA,NA,NA,NA,NA
Snow Pigeon,Columba leuconota,1,NA,NA,NA,NA,NA,NA
Snowy-browed Flycatcher,Ficedula hyperythra,1,1,NA,NA,NA,NA,NA
Snowy-throated Babbler,Stachyris oglei,1,NA,NA,NA,NA,NA,NA
Sociable Lapwing,Vanellus gregarius,NA,NA,NA,1,NA,NA,NA
Solitary Snipe,Gallinago solitaria,NA,NA,NA,1,NA,NA,NA
Song Thrush,Turdus philomelos,NA,NA,NA,NA,NA,1,NA
Sooty Gull,Ichthyaetus hemprichii,NA,NA,NA,NA,NA,1,NA
Sooty Tern,Onychoprion fuscatus,1,NA,NA,1,NA,NA,NA
South Polar Skua,Stercorarius maccormicki,NA,NA,1,NA,NA,1,NA
Southern Hill Myna,Gracula indica,1,NA,NA,NA,NA,NA,NA
Spanish Sparrow,Passer hispaniolensis,NA,NA,NA,1,NA,NA,NA
Speckled Piculet,Picumnus innominatus,1,NA,NA,NA,NA,NA,NA
Speckled Wood-Pigeon,Columba hodgsonii,1,NA,NA,NA,NA,NA,NA
Spectacled Finch,Callacanthis burtoni,1,1,NA,NA,NA,NA,NA
Spoon-billed Sandpiper,Calidris pygmaea,NA,NA,NA,NA,NA,1,NA
Spot-bellied Eagle-Owl,Bubo nipalensis,1,NA,NA,NA,NA,NA,NA
Spot-billed Pelican,Pelecanus philippensis,1,NA,NA,NA,NA,NA,NA
Spot-breasted Fantail,Rhipidura albogularis,1,NA,NA,NA,NA,NA,NA
Spot-breasted Laughingthrush,Garrulax merulinus,1,NA,NA,NA,NA,NA,NA
Spot-breasted Parrotbill,Paradoxornis guttaticollis,1,NA,NA,NA,NA,NA,NA
Spot-breasted Scimitar-Babbler,Megapomatorhinus mcclellandi,1,NA,NA,NA,NA,NA,NA
Spot-throated Babbler,Pellorneum albiventre,1,NA,NA,NA,NA,NA,NA
Spot-winged Grosbeak,Mycerobas melanozanthos,1,1,NA,NA,NA,NA,NA
Spot-winged Rosefinch,Carpodacus rodopeplus,1,1,NA,NA,NA,NA,NA
Spot-winged Starling,Saroglossa spilopterus,NA,NA,1,1,NA,NA,NA
Spotted Bush Warbler,Locustella thoracica,1,1,NA,NA,NA,NA,NA
Spotted Crake,Porzana porzana,NA,NA,NA,1,NA,NA,NA
Spotted Dove,Streptopelia chinensis,1,NA,NA,NA,NA,NA,NA
Spotted Elachura,Elachura formosa,1,1,NA,NA,NA,NA,NA
Spotted Flycatcher,Muscicapa striata,NA,NA,NA,NA,1,NA,NA
Spotted Forktail,Enicurus maculatus,1,1,NA,NA,NA,NA,NA
Spotted Laughingthrush,Ianthocincla ocellata,1,1,NA,NA,NA,NA,NA
Spotted Owlet,Athene brama,1,NA,NA,NA,NA,NA,NA
Spotted Redshank,Tringa erythropus,NA,NA,NA,1,NA,NA,NA
Spotted Sandgrouse,Pterocles senegallus,NA,NA,NA,1,NA,NA,NA
Square-tailed Bulbul,Hypsipetes ganeesa,1,NA,NA,NA,NA,NA,NA
Square-tailed Drongo-Cuckoo,Surniculus lugubris,NA,NA,1,NA,NA,NA,NA
Sri Lanka Bay-Owl,Phodilus assimilis,1,NA,NA,NA,NA,NA,NA
Sri Lanka Frogmouth,Batrachostomus moniliger,1,NA,NA,NA,NA,NA,NA
Steppe Eagle,Aquila nipalensis,NA,NA,NA,1,NA,NA,NA
Stork-billed Kingfisher,Pelargopsis capensis,1,NA,NA,NA,NA,NA,NA
Streak-breasted Scimitar-Babbler,Pomatorhinus ruficollis,1,NA,NA,NA,NA,NA,NA
Streak-throated Barwing,Actinodura waldeni,1,NA,NA,NA,NA,NA,NA
Streak-throated Fulvetta,Fulvetta manipurensis,1,NA,NA,NA,NA,NA,NA
Streak-throated Swallow,Petrochelidon fluvicola,1,NA,NA,NA,NA,NA,NA
Streak-throated Woodpecker,Picus xanthopygaeus,1,NA,NA,NA,NA,NA,NA
Streaked Laughingthrush,Trochalopteron lineatum,1,1,NA,NA,NA,NA,NA
Streaked Rosefinch,Carpodacus rubicilloides,1,1,NA,NA,NA,NA,NA
Streaked Shearwater,Calonectris leucomelas,NA,NA,NA,NA,NA,1,NA
Streaked Spiderhunter,Arachnothera magna,1,NA,NA,NA,NA,NA,NA
Streaked Weaver,Ploceus manyar,1,NA,NA,NA,NA,NA,NA
Streaked Wren-Babbler,Turdinus brevicaudatus,1,NA,NA,NA,NA,NA,NA
Striated Babbler,Turdoides earlei,1,NA,NA,NA,NA,NA,NA
Striated Bulbul,Pycnonotus striatus,1,1,NA,NA,NA,NA,NA
Striated Grassbird,Megalurus palustris,1,NA,NA,NA,NA,NA,NA
Striated Heron,Butorides striata,1,NA,NA,NA,NA,NA,NA
Striated Laughingthrush,Grammatoptila striata,1,NA,NA,NA,NA,NA,NA
Striated Prinia,Prinia crinigera,1,1,NA,NA,NA,NA,NA
Striated Swallow,Cecropis striolata,1,NA,NA,NA,NA,NA,NA
Striated Yuhina,Yuhina castaniceps,1,NA,NA,NA,NA,NA,NA
Striolated Bunting,Emberiza striolata,1,NA,NA,1,NA,NA,NA
Stripe-breasted Woodpecker,Dendrocopos atratus,1,NA,NA,NA,NA,NA,NA
Stripe-throated Yuhina,Yuhina gularis,1,1,NA,NA,NA,NA,NA
Striped Laughingthrush,Trochalopteron virgatum,1,NA,NA,NA,NA,NA,NA
Sulphur-bellied Warbler,Phylloscopus griseolus,NA,NA,1,1,NA,NA,NA
Sultan Tit,Melanochlora sultanea,1,1,NA,NA,NA,NA,NA
Swamp Francolin,Francolinus gularis,1,NA,NA,NA,NA,NA,NA
Swamp Grass Babbler,Laticilla cinerascens,1,NA,NA,NA,NA,NA,NA
Swinhoe's Snipe,Gallinago megala,NA,NA,NA,1,NA,NA,NA
Swinhoe's Storm-Petrel,Oceanodroma monorhis,NA,NA,NA,1,NA,1,NA
Sykes's Nightjar,Caprimulgus mahrattensis,1,NA,NA,1,NA,NA,NA
Sykes's Short-toed Lark,Calandrella dukhunensis,NA,NA,NA,1,NA,NA,NA
Sykes's Warbler,Iduna rama,NA,NA,NA,1,NA,NA,NA
Taiga Bean-Goose,Anser fabalis,NA,NA,NA,1,NA,NA,NA
Taiga Flycatcher,Ficedula albicilla,NA,NA,NA,1,NA,NA,NA
Tawny-bellied Babbler,Dumetia hyperythra,1,NA,NA,NA,NA,NA,NA
Tawny-breasted Wren-Babbler,Spelaeornis longicaudatus,1,NA,NA,NA,NA,NA,NA
Tawny Eagle,Aquila rapax,1,NA,NA,NA,NA,NA,NA
Tawny Fish-Owl,Ketupa flavipes,1,NA,NA,NA,NA,NA,NA
Tawny Lark,Galerida deva,1,NA,NA,NA,NA,NA,NA
Tawny Owl,Strix aluco,1,1,NA,NA,NA,NA,NA
Tawny Pipit,Anthus campestris,NA,NA,NA,1,NA,NA,NA
Temminck's Stint,Calidris temminckii,NA,NA,NA,1,NA,NA,NA
Temminck's Tragopan,Tragopan temminckii,1,1,NA,NA,NA,NA,NA
Terek Sandpiper,Xenus cinereus,NA,NA,NA,1,NA,NA,NA
Thick-billed Flowerpecker,Dicaeum agile,1,NA,NA,NA,NA,NA,NA
Thick-billed Green-Pigeon,Treron curvirostra,1,NA,NA,NA,NA,NA,NA
Thick-billed Warbler,Arundinax aedon,NA,NA,NA,1,NA,NA,NA
Tibetan Blackbird,Turdus maximus,NA,NA,1,1,NA,NA,NA
Tibetan Lark,Melanocorypha maxima,1,NA,NA,NA,NA,NA,NA
Tibetan Partridge,Perdix hodgsoniae,1,1,NA,NA,NA,NA,NA
Tibetan Sandgrouse,Syrrhaptes tibetanus,1,NA,NA,NA,NA,NA,NA
Tibetan Serin,Spinus thibetanus,NA,NA,NA,1,NA,NA,NA
Tibetan Snowcock,Tetraogallus tibetanus,1,1,NA,NA,NA,NA,NA
Tickell's Blue Flycatcher,Cyornis tickelliae,1,NA,NA,NA,NA,NA,NA
Tickell's Leaf Warbler,Phylloscopus affinis,NA,NA,1,1,NA,NA,NA
Tickell's Thrush,Turdus unicolor,NA,NA,1,1,NA,NA,NA
Tree Pipit,Anthus trivialis,NA,NA,1,1,NA,NA,1
Tricolored Munia,Lonchura malacca,1,NA,NA,NA,NA,NA,NA
Tristram's Bunting,Emberiza tristrami,NA,NA,NA,NA,NA,1,NA
Tropical Shearwater,Puffinus bailloni,NA,NA,NA,NA,NA,1,NA
Trumpeter Finch,Bucanetes githagineus,NA,NA,NA,1,NA,NA,NA
Tufted Duck,Aythya fuligula,NA,NA,NA,1,NA,NA,NA
Tundra Bean-Goose,Anser serrirostris,NA,NA,NA,1,NA,NA,NA
Tundra Swan,Cygnus columbianus,NA,NA,NA,1,NA,NA,NA
Twite,Linaria flavirostris,1,1,NA,NA,NA,NA,NA
Two-barred Warbler,Phylloscopus plumbeitarsus,NA,NA,NA,NA,NA,1,NA
Tytler's Leaf Warbler,Phylloscopus tytleri,NA,NA,1,1,NA,NA,NA
Ultramarine Flycatcher,Ficedula superciliaris,NA,NA,1,1,NA,NA,NA
Upland Buzzard,Buteo hemilasius,1,1,NA,NA,NA,NA,NA
Upland Pipit,Anthus sylvanus,1,1,NA,NA,NA,NA,NA
Van Hasselt's Sunbird,Leptocoma brasiliana,1,NA,NA,NA,NA,NA,NA
Variable Wheatear,Oenanthe picata,NA,NA,NA,1,NA,NA,NA
Variegated Laughingthrush,Trochalopteron variegatum,1,1,NA,NA,NA,NA,NA
Velvet-fronted Nuthatch,Sitta frontalis,1,NA,NA,NA,NA,NA,NA
Verditer Flycatcher,Eumyias thalassinus,NA,NA,1,1,NA,NA,NA
Vernal Hanging-Parrot,Loriculus vernalis,1,NA,NA,NA,NA,NA,NA
Vigors's Sunbird,Aethopyga vigorsii,1,NA,NA,NA,NA,NA,NA
Vinaceous Rosefinch,Carpodacus vinaceus,NA,NA,NA,NA,NA,1,NA
Violet Cuckoo,Chrysococcyx xanthorhynchus,1,NA,1,NA,NA,NA,NA
Vivid Niltava,Niltava vivida,1,NA,NA,NA,NA,NA,NA
Wallcreeper,Tichodroma muraria,NA,NA,1,1,NA,NA,NA
Ward's Trogon,Harpactes wardi,1,1,NA,NA,NA,NA,NA
Water Pipit,Anthus spinoletta,NA,NA,NA,1,NA,NA,NA
Water Rail,Rallus aquaticus,NA,NA,NA,1,NA,NA,NA
Watercock,Gallicrex cinerea,1,NA,1,1,NA,NA,NA
Wayanad Laughingthrush,Ianthocincla delesserti,1,NA,NA,NA,NA,NA,NA
Wedge-tailed Green-Pigeon,Treron sphenurus,1,NA,NA,NA,NA,NA,NA
Wedge-tailed Shearwater,Ardenna pacifica,NA,NA,NA,NA,NA,1,NA
West Himalayan Bush Warbler,Locustella kashmirensis,1,1,NA,NA,NA,NA,NA
Western Crowned Warbler,Phylloscopus occipitalis,NA,NA,1,1,NA,NA,NA
Western Reef-Heron,Egretta gularis,1,NA,NA,1,NA,NA,NA
Western Tragopan,Tragopan melanocephalus,1,1,NA,NA,NA,NA,NA
Western Yellow Wagtail,Motacilla flava,NA,NA,NA,1,NA,NA,NA
Whimbrel,Numenius phaeopus,NA,NA,NA,1,NA,NA,NA
Whiskered Tern,Chlidonias hybrida,1,NA,1,1,NA,NA,NA
Whiskered Yuhina,Yuhina flavicollis,1,1,NA,NA,NA,NA,NA
Whistler's Warbler,Phylloscopus whistleri,1,1,NA,NA,NA,NA,NA
White-backed Thrush,Turdus kessleri,NA,NA,NA,1,NA,NA,NA
White-bellied Blue Flycatcher,Cyornis pallidipes,1,NA,NA,NA,NA,NA,NA
White-bellied Drongo,Dicrurus caerulescens,1,NA,NA,NA,NA,NA,NA
White-bellied Erpornis,Erpornis zantholeuca,1,NA,NA,NA,NA,NA,NA
White-bellied Heron,Ardea insignis,1,NA,NA,NA,NA,NA,NA
White-bellied Minivet,Pericrocotus erythropygius,1,NA,NA,NA,NA,NA,NA
White-bellied Redstart,Luscinia phaenicuroides,NA,NA,1,1,NA,NA,NA
White-bellied Sea-Eagle,Haliaeetus leucogaster,1,NA,NA,NA,NA,NA,NA
White-bellied Sholakili,Sholicola albiventris,1,NA,NA,NA,NA,NA,NA
White-bellied Treepie,Dendrocitta leucogastra,1,NA,NA,NA,NA,NA,NA
White-bellied Woodpecker,Dryocopus javensis,1,NA,NA,NA,NA,NA,NA
White-breasted Parrotbill,Psittiparus ruficeps,1,NA,NA,NA,NA,NA,NA
White-breasted Waterhen,Amaurornis phoenicurus,1,NA,NA,NA,NA,NA,NA
White-breasted Woodswallow,Artamus leucorynchus,1,NA,NA,NA,NA,NA,NA
White-browed Bulbul,Pycnonotus luteolus,1,NA,NA,NA,NA,NA,NA
White-browed Bush-Robin,Tarsiger indicus,1,1,NA,NA,NA,NA,NA
White-browed Bushchat,Saxicola macrorhynchus,1,NA,NA,NA,NA,NA,NA
White-browed Crake,Amaurornis cinerea,NA,NA,NA,NA,NA,1,NA
White-browed Fantail,Rhipidura aureola,1,1,NA,NA,NA,NA,NA
White-browed Fulvetta,Fulvetta vinipectus,1,1,NA,NA,NA,NA,NA
White-browed Laughingthrush,Ianthocincla sannio,1,NA,NA,NA,NA,NA,NA
White-browed Piculet,Sasia ochracea,1,NA,NA,NA,NA,NA,NA
White-browed Scimitar-Babbler,Pomatorhinus schisticeps,1,NA,NA,NA,NA,NA,NA
White-browed Tit-Warbler,Leptopoecile sophiae,1,NA,NA,NA,NA,NA,NA
White-browed Wagtail,Motacilla maderaspatensis,1,NA,NA,NA,NA,NA,NA
White-capped Bunting,Emberiza stewarti,NA,NA,1,1,NA,NA,NA
White-capped Redstart,Phoenicurus leucocephalus,1,1,NA,NA,NA,NA,NA
White-cheeked Barbet,Psilopogon viridis,1,NA,NA,NA,NA,NA,NA
White-cheeked Nuthatch,Sitta leucopsis,1,1,NA,NA,NA,NA,NA
White-cheeked Partridge,Arborophila atrogularis,1,NA,NA,NA,NA,NA,NA
White-cheeked Starling,Spodiopsar cineraceus,1,NA,NA,NA,NA,NA,NA
White-cheeked Tern,Sterna repressa,NA,NA,NA,NA,NA,1,NA
White-cheeked Tit,Aegithalos leucogenys,NA,NA,NA,NA,NA,1,NA
White-collared Blackbird,Turdus albocinctus,1,1,NA,NA,NA,NA,NA
White-crested Laughingthrush,Garrulax leucolophus,1,NA,NA,NA,NA,NA,NA
White-crowned Forktail,Enicurus leschenaulti,1,1,NA,NA,NA,NA,NA
White-crowned Penduline-Tit,Remiz coronatus,NA,NA,NA,1,NA,NA,NA
White-eared Bulbul,Pycnonotus leucotis,1,NA,NA,NA,NA,NA,NA
White-eared Night-Heron,Gorsachius magnificus,NA,NA,NA,NA,NA,1,NA
White-eyed Buzzard,Butastur teesa,1,NA,NA,1,NA,NA,NA
White-eyed Gull,Ichthyaetus leucophthalmus,NA,NA,NA,NA,NA,1,NA
White-faced Storm-Petrel,Pelagodroma marina,NA,NA,1,NA,NA,NA,NA
White-gorgeted Flycatcher,Anthipes monileger,1,1,NA,NA,NA,NA,NA
White-headed Duck,Oxyura leucocephala,NA,NA,NA,1,NA,NA,NA
White-headed Starling,Sturnia erythropygia,1,NA,NA,NA,NA,NA,NA
White-hooded Babbler,Gampsorhynchus rufulus,1,NA,NA,NA,NA,NA,NA
White-naped Tit,Machlolophus nuchalis,1,NA,NA,NA,NA,NA,NA
White-naped Woodpecker,Chrysocolaptes festivus,1,NA,NA,NA,NA,NA,NA
White-naped Yuhina,Yuhina bakeri,1,1,NA,NA,NA,NA,NA
White-nest Swiftlet,Aerodramus fuciphagus,1,NA,NA,NA,NA,NA,NA
White-rumped Munia,Lonchura striata,1,NA,NA,NA,NA,NA,NA
White-rumped Needletail,Zoonavena sylvatica,1,NA,NA,NA,NA,NA,NA
White-rumped Shama,Copsychus malabaricus,1,NA,NA,NA,NA,NA,NA
White-rumped Snowfinch,Montifringilla taczanowskii,1,NA,NA,NA,NA,NA,NA
White-rumped Vulture,Gyps bengalensis,1,NA,NA,NA,NA,NA,NA
White-spectacled Warbler,Phylloscopus intermedius,1,1,NA,NA,NA,NA,NA
White-tailed Eagle,Haliaeetus albicilla,NA,NA,NA,1,NA,NA,NA
White-tailed Flycatcher,Cyornis concretus,1,1,NA,NA,NA,NA,NA
White-tailed Iora,Aegithina nigrolutea,1,NA,NA,NA,NA,NA,NA
White-tailed Lapwing,Vanellus leucurus,NA,NA,NA,1,NA,NA,NA
White-tailed Nuthatch,Sitta himalayensis,1,1,NA,NA,NA,NA,NA
White-tailed Robin,Myiomela leucura,1,1,NA,NA,NA,NA,NA
White-tailed Stonechat,Saxicola leucurus,1,NA,NA,NA,NA,NA,NA
White-tailed Tropicbird,Phaethon lepturus,1,NA,NA,NA,NA,NA,NA
White-throated Bulbul,Alophoixus flaveolus,1,NA,NA,NA,NA,NA,NA
White-throated Bushchat,Saxicola insignis,NA,NA,NA,1,NA,NA,NA
White-throated Dipper,Cinclus cinclus,1,1,NA,NA,NA,NA,NA
White-throated Fantail,Rhipidura albicollis,1,1,NA,NA,NA,NA,NA
White-throated Kingfisher,Halcyon smyrnensis,1,NA,NA,NA,NA,NA,NA
White-throated Laughingthrush,Ianthocincla albogularis,1,1,NA,NA,NA,NA,NA
White-throated Needletail,Hirundapus caudacutus,NA,NA,1,NA,NA,NA,NA
White-throated Redstart,Phoenicurus schisticeps,1,1,NA,NA,NA,NA,NA
White-throated Tit,Aegithalos niveogularis,1,1,NA,NA,NA,NA,NA
White-winged Duck,Asarcornis scutulata,1,NA,NA,NA,NA,NA,NA
White-winged Grosbeak,Mycerobas carnipes,1,1,NA,NA,NA,NA,NA
White-winged Redstart,Phoenicurus erythrogastrus,1,1,NA,NA,NA,NA,NA
White-winged Tern,Chlidonias leucopterus,NA,NA,NA,1,NA,NA,NA
White Stork,Ciconia ciconia,NA,NA,NA,1,NA,NA,NA
White Tern,Gygis alba,NA,NA,NA,NA,NA,1,NA
White Wagtail,Motacilla alba,NA,NA,NA,1,NA,NA,NA
Whooper Swan,Cygnus cygnus,NA,NA,NA,1,NA,NA,NA
Wilson's Storm-Petrel,Oceanites oceanicus,NA,NA,1,NA,NA,NA,NA
Wire-tailed Swallow,Hirundo smithii,1,NA,NA,NA,NA,NA,NA
Wood Sandpiper,Tringa glareola,NA,NA,NA,1,NA,NA,NA
Wood Snipe,Gallinago nemoricola,NA,NA,1,1,NA,NA,NA
Wood Warbler,Phylloscopus sibilatrix,NA,NA,NA,NA,NA,1,NA
Woodchat Shrike,Lanius senator,NA,NA,NA,NA,NA,1,NA
Woolly-necked Stork,Ciconia episcopus,1,NA,NA,NA,NA,NA,NA
Wreathed Hornbill,Rhyticeros undulatus,1,NA,NA,NA,NA,NA,NA
Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,1,1,NA,NA,NA,NA,NA
Yellow-bellied Flowerpecker,Dicaeum melanozanthum,1,1,NA,NA,NA,NA,NA
Yellow-bellied Prinia,Prinia flaviventris,1,NA,NA,NA,NA,NA,NA
Yellow-bellied Warbler,Abroscopus superciliaris,1,1,NA,NA,NA,NA,NA
Yellow-billed Babbler,Turdoides affinis,1,NA,NA,NA,NA,NA,NA
Yellow-billed Blue-Magpie,Urocissa flavirostris,1,1,NA,NA,NA,NA,NA
Yellow-billed Chough,Pyrrhocorax graculus,1,1,NA,NA,NA,NA,NA
Yellow-breasted Bunting,Emberiza aureola,NA,NA,NA,1,NA,NA,NA
Yellow-breasted Greenfinch,Chloris spinoides,1,1,NA,NA,NA,NA,NA
Yellow-browed Bulbul,Iole indica,1,NA,NA,NA,NA,NA,NA
Yellow-browed Bunting,Emberiza chrysophrys,NA,NA,NA,NA,NA,1,NA
Yellow-browed Tit,Sylviparus modestus,1,1,NA,NA,NA,NA,NA
Yellow-browed Warbler,Phylloscopus inornatus,NA,NA,NA,1,NA,NA,NA
Yellow-cheeked Tit,Machlolophus spilonotus,1,1,NA,NA,NA,NA,NA
Yellow-crowned Woodpecker,Leiopicus mahrattensis,1,NA,NA,NA,NA,NA,NA
Yellow-eyed Babbler,Chrysomma sinense,1,NA,NA,NA,NA,NA,NA
Yellow-eyed Pigeon,Columba eversmanni,NA,NA,NA,1,NA,NA,NA
Yellow-footed Green-Pigeon,Treron phoenicopterus,1,NA,NA,NA,NA,NA,NA
Yellow-legged Buttonquail,Turnix tanki,1,NA,NA,NA,NA,NA,1
Yellow-rumped Flycatcher,Ficedula zanthopygia,NA,NA,NA,NA,NA,1,NA
Yellow-rumped Honeyguide,Indicator xanthonotus,1,1,NA,NA,NA,NA,NA
Yellow-throated Bulbul,Pycnonotus xantholaemus,1,NA,NA,NA,NA,NA,NA
Yellow-throated Fulvetta,Schoeniparus cinereus,1,NA,NA,NA,NA,NA,NA
Yellow-throated Laughingthrush,Ianthocincla galbana,1,NA,NA,NA,NA,NA,NA
Yellow-throated Sparrow,Gymnoris xanthocollis,1,NA,NA,NA,NA,NA,NA
Yellow-vented Flowerpecker,Dicaeum chrysorrheum,1,NA,NA,NA,NA,NA,NA
Yellow-vented Warbler,Phylloscopus cantator,1,1,NA,NA,NA,NA,NA
Yellow-wattled Lapwing,Vanellus malabaricus,1,NA,NA,NA,NA,NA,NA
Yellow Bittern,Ixobrychus sinensis,1,NA,1,1,NA,NA,NA
Yellowhammer,Emberiza citrinella,NA,NA,NA,1,NA,NA,NA
Yunnan Nuthatch,Sitta yunnanensis,1,NA,NA,NA,NA,NA,NA
Zappey's Flycatcher,Cyanoptila cumatilis,NA,NA,NA,1,NA,1,NA
Zitting Cisticola,Cisticola juncidis,1,NA,NA,NA,NA,NA,NA
